id,key,value,type
131834000,material,cement_block,building
132042139,building,residential,regular
132042139,street,Muhalitani,addr
132042139,levels,1,building
132042139,housenumber,98,addr
132042139,material,cement_block,building
135618299,ref,T7,regular
135618299,name,Kilwa Road,regular
135618299,oneway,yes,regular
135618299,highway,primary,regular
135618299,old_ref,B2,regular
135694166,ref,D5,regular
135694166,aeroway,parking_position,regular
135694185,ref,TWY X,regular
135694185,aeroway,taxiway,regular
135694207,highway,service,regular
135694229,building,yes,regular
135694265,aeroway,taxiway,regular
135694296,aeroway,taxiway,regular
136717076,name,Mlimani City Congress Centre,regular
136717076,amenity,public_building,regular
136717076,building,commercial,regular
136717076,levels,1,building
136729875,oneway,yes,regular
136729875,highway,trunk_link,regular
136752164,name,Baraka Plaza,regular
136752164,building,commercial,regular
136752164,levels,4,building
136752164,material,cement_block,building
137024713,width,15,regular
137024713,highway,residential,regular
137024713,surface,unpaved,regular
137031208,name,TANESCO Headquarter UMEME PARK,regular
137031208,building,public,regular
137031208,street,Kibo,addr
137031208,levels,10,building
137031208,material,cement_block,building
137506994,waterway,stream,regular
137513502,barrier,wall,regular
137517928,amenity,parking,regular
137805692,building,yes,regular
138553728,building,school,regular
138553728,street,Nguzo Nane,addr
138553728,levels,2,building
138553728,material,cement_block,building
138555302,building,commercial,regular
138555302,levels,1,building
138555302,material,cement_block,building
139507048,highway,path,regular
139565397,building,yes,regular
139572756,building,yes,regular
139586167,highway,service,regular
139737505,bridge,yes,regular
139737505,layer,1,regular
139737505,source,yahoo-sat,regular
141608447,building,commercial,regular
141608447,street,Sea Ciff Street,addr
141608447,use,hotel,building
141608447,levels,1,building
141608447,material,cement_block,building
142115295,highway,unclassified,regular
142115295,surface,unpaved,regular
142120599,highway,residential,regular
142120599,surface,unpaved,regular
142140574,highway,residential,regular
142140574,surface,unpaved,regular
142244821,highway,primary,regular
142244821,lanes,2,regular
142244821,name,Nelson Mandela Road,regular
142244821,oneway,yes,regular
142260287,waterway,stream,regular
142264204,building,commercial,regular
142264204,street,Slipway Street,addr
142264204,levels,1,building
142264204,material,cement_block,building
142365124,highway,footway,regular
142368751,landuse,reservoir,regular
142447203,landuse,forest,regular
142470214,landuse,forest,regular
142869251,building,yes,regular
143871249,highway,tertiary,regular
143871249,name,Silver Sands Road,regular
143877210,landuse,meadow,regular
143939934,landuse,reservoir,regular
143947580,highway,residential,regular
143950421,highway,residential,regular
143950421,surface,unpaved,regular
143954916,waterway,stream,regular
144979307,gauge,1000,regular
144979307,layer,1,regular
144979307,bridge,yes,regular
144979307,railway,rail,regular
144979307,electrified,no,regular
146321349,highway,residential,regular
146321349,smoothness,intermediate,regular
146321349,surface,unpaved,regular
146321349,width,5,regular
146324364,landuse,meadow,regular
146327600,highway,path,regular
151206655,office,government,regular
151206655,building,public,regular
151206655,street,Sokoine Street,addr
151206655,levels,1,building
151206655,material,cement_block,building
151742651,name,Railway Office,regular
151742651,office,government,regular
151742651,amenity,public_building,regular
151742651,building,public,regular
151742651,street,Sokoine Street,addr
151742651,levels,1,building
151742651,material,cement_block,building
155242860,highway,service,regular
157259613,street,Njaro,addr
157259613,building,industrial,regular
157259613,levels,1,building
157259613,material,cement_block,building
157259652,building,yes,regular
161732636,name,Changombe Road,regular
161732636,highway,primary,regular
161734452,width,2,regular
161734452,highway,footway,regular
161734452,smoothness,entermediate,regular
161745247,highway,residential,regular
161745247,surface,sand,regular
161746676,building,yes,regular
161752046,street,Kibo,addr
161752046,building,public,regular
161752046,levels,1,building
161752046,material,cement_block,building
161753256,highway,residential,regular
161753256,surface,unpaved,regular
161754965,highway,residential,regular
161754965,surface,sand,regular
161757437,office,government,regular
161757437,amenity,college,regular
161757437,building,school,regular
161757437,street,Chuo Kikuu,addr
161757437,levels,1,building
161757437,material,cement_block,building
161763885,highway,residential,regular
161763885,surface,sand,regular
161766654,highway,residential,regular
161766654,surface,sand,regular
161857448,highway,residential,regular
161857448,surface,sand,regular
161858624,highway,residential,regular
161858624,surface,sand,regular
161863180,highway,tertiary,regular
161863180,surface,asphalt,regular
162673786,highway,unclassified,regular
162673786,surface,sand,regular
162675966,layer,-1,regular
162675966,tunnel,yes,regular
162675966,waterway,river,regular
162685303,highway,unclassified,regular
162691972,highway,tertiary,regular
162691972,surface,sand,regular
162695932,highway,residential,regular
162695932,surface,sand,regular
162696713,highway,residential,regular
162696713,surface,sand,regular
164922267,highway,footway,regular
164922298,building,yes,regular
164929594,building,yes,regular
165396858,name,Café Slipway,regular
165396858,amenity,cafe,regular
165396858,building,commercial,regular
165396858,street,Slipway Street,addr
165396858,levels,1,building
165396858,material,cement_block,building
165583526,landuse,forest,regular
165821674,highway,residential,regular
165824377,waterway,river,regular
166712622,office,government,regular
166712622,amenity,college,regular
166712622,building,school,regular
166712622,street,Magurumbasi A,addr
166712622,levels,1,building
166712622,material,cement_block,building
166712669,source,Bing,regular
166712669,leisure,pitch,regular
166712669,surface,sand,regular
166790701,highway,residential,regular
166790724,highway,residential,regular
167301107,building,yes,regular
167319110,building,yes,regular
167444746,shop,convenience,regular
167444746,building,yes,regular
167579189,building,yes,regular
167620571,name,Commercial centre,regular
167620571,landuse,commercial,regular
167628050,building,yes,regular
168221964,building,residential,regular
168221964,street,Mkunduge Street,addr
168221964,levels,1,building
168221964,material,cement_block,building
168672527,name,Railway Tanzania Supplier Ltd,regular
168672527,office,company,regular
168672527,building,commercial,regular
168672527,street,Lindi,addr
168672527,levels,1,building
168672527,material,cement_block,building
168673375,highway,residential,regular
168673375,surface,sand,regular
168673661,highway,service,regular
168674312,highway,residential,regular
168677129,building,commercial,regular
168677129,street,Nguzo Nane,addr
168677129,levels,1,building
168677129,material,cement_block,building
168677714,building,yes,regular
168678602,building,yes,regular
168680023,building,yes,regular
168680865,name,Embassy of the United States of America,regular
168680865,target,TZ,regular
168680865,country,US,regular
168680865,alt_name,American Embassy,regular
168680865,building,office,regular
168680865,diplomatic,embassy,regular
168680865,street,Mkoroshini,addr
168680865,levels,1,building
168680865,material,cement_block,building
168682640,building,residential,regular
168682640,levels,1,building
168682640,material,cement_block,building
168683878,tourism,attraction,regular
168683878,building,commercial,regular
168683878,street,Slipway Street,addr
168683878,levels,1,building
168683878,material,cement_block,building
168686359,amenity,pub,regular
168686359,building,commercial,regular
168686359,levels,1,building
168686359,material,cement_block,building
168687001,highway,residential,regular
168699454,building,residential,regular
168699454,street,Bondeni,addr
168699454,levels,1,building
168699454,material,cement_block,building
168704444,highway,unclassified,regular
168712432,highway,residential,regular
168713749,highway,residential,regular
168714168,highway,residential,regular
168715952,highway,residential,regular
168716553,highway,unclassified,regular
169830474,highway,residential,regular
169830474,surface,unpaved,regular
169831113,width,6,regular
169831113,highway,residential,regular
169831113,service,driveway,regular
169831113,surface,unpaved,regular
169831480,highway,service,regular
169831480,leisure,slipway,regular
169832039,oneway,no,regular
